source,legend,value,target
Sailing,AR,0.933654092,Argentina (AR)
Sailing,AU,0.049935553,Australia (AU)
Sailing,BR,0.34160509,Brazil (BR)
Sailing,CA,0.018567459,Canada (CA)
Sailing,CH,0.063167557,Switzerland (CH)
Sailing,CO,0.035265345,Colombia (CO)
Sailing,DE,0.031655329,Germany (DE)
Sailing,DK,0.366557032,Denmark (DK)
Sailing,ES,0.176542966,Spain (ES)
Sailing,FR,0.300660249,France (FR)
Sailing,GB,0.160049519,Great Britain (GB)
Sailing,GR,0.23792207,Greece (GR)
Sailing,HR,1.821850716,Croatia (HR)
Sailing,HU,0.021362184,Hungary (HU)
Sailing,IT,0.048647044,Italy (IT)
Sailing,NL,1.588572653,Netherlands (NL)
Sailing,NZ,0.723203922,New Zealand (NZ)
Sailing,SE,0.052818812,Sweden (SE)
Sailing,US,0.01996916,United States (US)
Shooting,AR,0.039630529,Argentina (AR)
Shooting,AU,0.234699947,Australia (AU)
Shooting,BR,0.27320913,Brazil (BR)
Shooting,CA,0.131442409,Canada (CA)
Shooting,CH,0.47621623,Switzerland (CH)
Shooting,CO,0.049565977,Colombia (CO)
Shooting,DE,0.30566618,Germany (DE)
Shooting,DK,0.099154279,Denmark (DK)
Shooting,ES,0.171531195,Spain (ES)
Shooting,FR,0.094964771,France (FR)
Shooting,GB,0.120634417,Great Britain (GB)
Shooting,GR,0.452297457,Greece (GR)
Shooting,HR,1.147784559,Croatia (HR)
Shooting,HU,0.344097259,Hungary (HU)
Shooting,IR,1.122094448,Iran (IR)
Shooting,IT,1.216227817,Italy (IT)
Shooting,JP,0.02573174,Japan (JP)
Shooting,KR,0.730562462,South Korea (KR)
Shooting,NL,0.051765697,Netherlands (NL)
Shooting,NZ,0.022861721,New Zealand (NZ)
Shooting,RU,0.015176099,Russia (RU)
Shooting,SE,0.211225602,Sweden (SE)
